24/10/2017:	s> _| R~ BV =N UH KI 3{ S, &Y 08 6J `D gZ AT 2z 1W #' 9E P} %5 ty jQ ^. vo r- c" b: xF (e 
25/10/2017:	_8 dN aM fq Q" ZO I~ YG L^ U> -E w& j% $k =P C2 :' 1r gl i\ XB @o <] .x 7, Hs 4S yK 3[ Dc 
26/10/2017:	I. :> UM Ww !E cA -5 D@ nb '+ TF Sv BL u0 lK g3 ?d ya 7& er }P =\ pZ R< $m z` {8 kq ih ]6 
27/10/2017:	08 h$ 3C GK Ue V\ nx `s QI }o Fm X" E= ~@ 7c J{ 9R 1u YW ?, [q z- fb v; .% )> ^j (! pD iM 
28/10/2017:	-! >n I| mG c? d1 Ql L' og =q @0 &" N( ,: 4z #_ MY vf D$ )S u. U] EB 7W ex 89 6T Jj CH Kh 
29/10/2017:	[+ vn *, 32 MT Y; o9 w) ^W \d /F 6B h0 K! ]$ #P Vc j` 7| &@ C1 ~l gp {k z} Hx m' N8 qZ >t 
30/10/2017:	2V ]* (" ?\ :E s0 P4 UH {f '^ .S pX zh -G %k `A +Z iO yJ ,j CQ 3Y <x o/ e6 _r D~ I} ;n )w 
31/10/2017:	(k 3K io ]C +$ 7P [. tz uB 6j s" 1} nc 2x A_ &; MQ -g d{ lI ?L w= !@ \/ 9< Np 'y O^ ~* q% 
01/11/2017:	Yz #k Ms 6Z }q uR p] |U =- 1m 9y X, "K d7 gj c[ !t O$ ^a \0 W: fl FB 4v eJ PI &) ib /x _n 
02/11/2017:	N} 2? J> VT zo [n U) 5G '# ]! y6 gA ML me ^- 1{ |~ kw uS :r 7j 8x R; f\ _h Ht /% v. bE X3 
03/11/2017:	8# zY F{ E7 q4 &B Q. f\ ,' *x pX $S +v rj 9) ^% >0 uP R] :y Ze !" t3 HU ?M sN C_ 1b d2 Wi 
04/11/2017:	\S W6 y5 ns X2 4; zl Np q8 `1 g< ^7 $i B- FM bt Q@ |3 >C 0d Av !~ Hu Vo &= K( Ew P" fj )# 
05/11/2017:	oV :p R= 8s Iv Sw ;Y Di M$ x4 -) 0j h3 n[ U/ ~` a2 7< !r y& N5 uL Q( KE ]m PG 'k 6\ Jf W" 
06/11/2017:	.@ a, <p lk ym CX |Z [g =n *z ^\ 0q J6 `o }F N' 2b /U -d Ls #9 O3 &B 8f 5? Wx K$ (r 4: RM 
07/11/2017:	[s >_ Tj B8 4@ pC NF qm D, 9+ "~ 7/ ;\ J. S< =o vx 3g rZ nQ !0 lA E5 P2 |V ?X L* Oy 'R aw 
08/11/2017:	(% *7 ~C fQ )N 9< h_ W} d$ L# lT GB 2i `! x1 "O J= Sz qR Xj /m |Z o& Ia [V +w t. PY eg \^ 
